state,yr,qtr,index_sa
CO,2011,2,256.08
CO,2011,3,259.89
CO,2011,4,257.97
CO,2012,1,259.45
CO,2012,2,270.90
CO,2012,3,275.78
CO,2012,4,283.59
CO,2013,1,290.60
CO,2013,2,297.11
CO,2013,3,303.91
CO,2013,4,309.39
CT,1991,1,100.00
CT,1991,2,98.02
CT,1991,3,96.27
CT,1991,4,95.84
CT,1992,1,97.40
CT,1992,2,95.35
CT,1992,3,94.18
CT,1992,4,95.34
CT,1993,1,92.61
CT,1993,2,91.74
CT,1993,3,91.44
CT,1993,4,91.41
CT,1994,1,91.49
CT,1994,2,91.88
CT,1994,3,91.80
CT,1994,4,91.49
CT,1995,1,90.95
CT,1995,2,90.39
CT,1995,3,90.80
CT,1995,4,90.86
CT,1996,1,91.22
CT,1996,2,91.51
CT,1996,3,90.92
CT,1996,4,90.77
CT,1997,1,91.39
CT,1997,2,92.12
CT,1997,3,92.56
CT,1997,4,93.38
CT,1998,1,94.15
CT,1998,2,95.68
CT,1998,3,97.60
CT,1998,4,99.70
CT,1999,1,102.04
CT,1999,2,103.88
CT,1999,3,105.98
CT,1999,4,108.26
CT,2000,1,110.99
CT,2000,2,113.79
CT,2000,3,115.46
CT,2000,4,118.17
CT,2001,1,121.23
CT,2001,2,124.13
CT,2001,3,127.81
CT,2001,4,130.49
CT,2002,1,133.47
CT,2002,2,137.74
CT,2002,3,141.73
CT,2002,4,146.77
CT,2003,1,150.18
CT,2003,2,152.67
CT,2003,3,156.52
CT,2003,4,160.44
CT,2004,1,164.51
CT,2004,2,169.86
CT,2004,3,175.52
CT,2004,4,179.55
CT,2005,1,184.02
CT,2005,2,188.16
CT,2005,3,191.94
CT,2005,4,195.51
CT,2006,1,198.15
CT,2006,2,198.38
CT,2006,3,195.90
CT,2006,4,196.30
CT,2007,1,199.60
CT,2007,2,197.25
CT,2007,3,197.23
CT,2007,4,195.18
CT,2008,1,192.05
CT,2008,2,189.33
CT,2008,3,185.81
CT,2008,4,182.68
CT,2009,1,182.25
CT,2009,2,177.63
CT,2009,3,176.38
CT,2009,4,175.54
CT,2010,1,174.31
CT,2010,2,173.09
CT,2010,3,170.71
CT,2010,4,169.06
CT,2011,1,168.97
CT,2011,2,168.67
CT,2011,3,165.88
CT,2011,4,165.26
CT,2012,1,163.46
CT,2012,2,162.84
CT,2012,3,165.28
CT,2012,4,164.65
CT,2013,1,163.85
CT,2013,2,166.79
CT,2013,3,168.01
CT,2013,4,166.54
DC,1991,1,100.00
DC,1991,2,100.42
DC,1991,3,98.09
DC,1991,4,99.89
DC,1992,1,100.85
DC,1992,2,99.71
DC,1992,3,101.13
DC,1992,4,100.04
DC,1993,1,94.00
DC,1993,2,97.82
DC,1993,3,97.51
DC,1993,4,92.94
DC,1994,1,96.17
DC,1994,2,98.15
DC,1994,3,97.49
DC,1994,4,93.14
DC,1995,1,92.20
DC,1995,2,89.35
DC,1995,3,91.47
DC,1995,4,94.15
DC,1996,1,94.62
DC,1996,2,95.35
DC,1996,3,93.01
DC,1996,4,98.86
DC,1997,1,89.90
DC,1997,2,96.90
DC,1997,3,91.98
DC,1997,4,96.20
DC,1998,1,98.06
DC,1998,2,100.50
DC,1998,3,105.71
DC,1998,4,109.11
DC,1999,1,109.18
DC,1999,2,111.53
DC,1999,3,118.11
DC,1999,4,120.22
DC,2000,1,128.70
DC,2000,2,130.06
DC,2000,3,134.08
DC,2000,4,135.61
DC,2001,1,143.87
DC,2001,2,148.67
DC,2001,3,157.04
DC,2001,4,162.80
DC,2002,1,171.05
DC,2002,2,180.95
DC,2002,3,185.61
DC,2002,4,195.11
DC,2003,1,191.83
DC,2003,2,210.49
DC,2003,3,218.86
DC,2003,4,223.84
DC,2004,1,246.71
DC,2004,2,253.86
DC,2004,3,256.74
DC,2004,4,283.03
DC,2005,1,287.96
DC,2005,2,316.41
DC,2005,3,328.21
DC,2005,4,327.42
DC,2006,1,328.60
DC,2006,2,326.29
DC,2006,3,338.57
DC,2006,4,341.76
DC,2007,1,345.35
DC,2007,2,350.77
DC,2007,3,345.19
DC,2007,4,341.95
DC,2008,1,338.63
DC,2008,2,323.54
DC,2008,3,329.04
DC,2008,4,323.02
DC,2009,1,310.89
DC,2009,2,321.62
DC,2009,3,318.22
DC,2009,4,329.10
DC,2010,1,344.42
DC,2010,2,318.39
DC,2010,3,336.62
DC,2010,4,330.22
DC,2011,1,324.35
DC,2011,2,351.24
DC,2011,3,330.82
DC,2011,4,353.56
DC,2012,1,357.42
DC,2012,2,359.98
DC,2012,3,370.48
DC,2012,4,386.00
DC,2013,1,396.35
DC,2013,2,406.64
DC,2013,3,427.79
DC,2013,4,412.99
DE,1991,1,100.00
DE,1991,2,99.87
DE,1991,3,99.55
DE,1991,4,100.17
DE,1992,1,100.71
DE,1992,2,99.87
DE,1992,3,99.39
DE,1992,4,100.35
DE,1993,1,99.04
DE,1993,2,99.41
DE,1993,3,99.02
DE,1993,4,98.32
DE,1994,1,97.29
DE,1994,2,99.93
DE,1994,3,99.54
DE,1994,4,99.71
DE,1995,1,99.94
DE,1995,2,99.32
DE,1995,3,99.05
DE,1995,4,99.33
DE,1996,1,99.71
DE,1996,2,99.64
DE,1996,3,100.30
DE,1996,4,100.35
DE,1997,1,100.50
DE,1997,2,100.97
DE,1997,3,101.55
DE,1997,4,101.19
DE,1998,1,102.96
DE,1998,2,103.72
DE,1998,3,105.42
DE,1998,4,105.90
DE,1999,1,107.43
DE,1999,2,109.89
DE,1999,3,111.15
DE,1999,4,112.92
DE,2000,1,114.82
DE,2000,2,116.34
DE,2000,3,118.39
DE,2000,4,121.50
DE,2001,1,124.28
DE,2001,2,126.00
DE,2001,3,127.66
DE,2001,4,131.59
DE,2002,1,133.79
DE,2002,2,137.96
DE,2002,3,142.10
DE,2002,4,144.84
DE,2003,1,147.71
DE,2003,2,152.06
DE,2003,3,155.09
DE,2003,4,160.24
DE,2004,1,166.25
DE,2004,2,170.65
DE,2004,3,179.25
DE,2004,4,184.41
DE,2005,1,188.95
DE,2005,2,197.43
DE,2005,3,202.04
DE,2005,4,208.82
DE,2006,1,215.37
DE,2006,2,214.80
DE,2006,3,218.84
DE,2006,4,222.73
DE,2007,1,217.58
DE,2007,2,219.15
DE,2007,3,221.41
DE,2007,4,216.51
DE,2008,1,213.59
DE,2008,2,209.50
DE,2008,3,205.10
DE,2008,4,198.62
DE,2009,1,202.98
DE,2009,2,206.18
DE,2009,3,194.13
DE,2009,4,189.51
DE,2010,1,193.56
DE,2010,2,188.28
DE,2010,3,186.29
DE,2010,4,189.79
DE,2011,1,181.60
DE,2011,2,174.53
DE,2011,3,171.82
DE,2011,4,178.34
DE,2012,1,170.60
DE,2012,2,172.33
DE,2012,3,180.94
DE,2012,4,180.37
DE,2013,1,181.89
DE,2013,2,185.25
DE,2013,3,184.25
DE,2013,4,180.58
FL,1991,1,100.00
FL,1991,2,100.28
FL,1991,3,99.96
FL,1991,4,100.44
FL,1992,1,101.40
FL,1992,2,100.81
FL,1992,3,101.94
FL,1992,4,102.39
FL,1993,1,102.59
FL,1993,2,103.76
FL,1993,3,104.34
FL,1993,4,105.25
FL,1994,1,106.12
FL,1994,2,106.56
FL,1994,3,107.55
FL,1994,4,108.34
FL,1995,1,108.85
FL,1995,2,109.09
FL,1995,3,110.27
FL,1995,4,110.47
FL,1996,1,111.00
FL,1996,2,111.95
FL,1996,3,112.46
FL,1996,4,112.58
FL,1997,1,113.87
FL,1997,2,114.13
FL,1997,3,114.72
FL,1997,4,116.06
FL,1998,1,117.61
FL,1998,2,118.89
FL,1998,3,120.14
FL,1998,4,121.43
FL,1999,1,123.11
FL,1999,2,125.13
FL,1999,3,126.74
FL,1999,4,128.92
FL,2000,1,131.40
FL,2000,2,133.70
FL,2000,3,136.58
FL,2000,4,139.82
FL,2001,1,143.30
FL,2001,2,147.04
FL,2001,3,151.32
FL,2001,4,155.27
FL,2002,1,159.22
FL,2002,2,164.03
FL,2002,3,168.41
FL,2002,4,173.66
FL,2003,1,179.21
FL,2003,2,184.31
FL,2003,3,190.09
FL,2003,4,197.54
FL,2004,1,205.45
FL,2004,2,215.34
FL,2004,3,227.02
FL,2004,4,238.89
FL,2005,1,253.89
FL,2005,2,270.42
FL,2005,3,287.55
FL,2005,4,299.49
FL,2006,1,307.09
FL,2006,2,309.95
FL,2006,3,310.04
FL,2006,4,310.33
FL,2007,1,307.88
FL,2007,2,303.12
FL,2007,3,288.99
FL,2007,4,277.85
FL,2008,1,257.60
FL,2008,2,236.88
FL,2008,3,219.73
FL,2008,4,205.24
FL,2009,1,197.02
FL,2009,2,191.95
FL,2009,3,188.18
FL,2009,4,187.52
FL,2010,1,185.10
